,after_detokenized
1402,ikn nusantara kemajuan bangsa indonesia ibukotanegaranusantara ikn iknnusantara indonesiaemas smartcity kotamodern indonesiamaju smartdefensesystem iknkotamasadepan pembangunanikn karyanyata
1403,bank tanah beri solusi warga terdampak ikn lewat reforma agraria
1404,keren kantor otorita ikn tapi rakyat yang kere rakyat dibebani berbagai macam pungutan terutama pajak untuk biaya ikn
1405,dalam upaya mendukung pembangunan ikn direktorat kepolisian peraitan dan udara polda kaltim gencar melaksanakan patroli perairan
1406,sudah tapi belum belum tapi sudah persis bahasa mulyono tentang kesiapan ikn dan akhirnya mankrak
1407,pembangunan ikn akan dilanjutkan dengan penyesuaian
1408,ahy ikn lanjut dengan penyesuaian kita juga punya prioritas pembangunan lain
1409,ikn apa kabar proyek yang super duper mega mahal tp mangkrak
1410,ikn tuh salah kebijakan bernilai t
1411,allhamdulilah baru pulang dari ikn ehh udah dpt project lagi
